姓名 高数 Java 数据结构 平均成绩 总成绩
张三6 75 92 20 62 187
张三24 15 68 4 29 87
张三99 53 45 29 42 127
张三45 97 95 73 88 265
张三90 67 65 86 72 218
张三95 8 54 37 33 99
张三82 86 48 53 62 187
张三42 15 7 12 11 34
张三65 51 87 2 46 140
张三24 62 81 65 69 208
张三31 91 36 67 64 194
张三51 74 1 55 43 130
张三78 35 32 21 29 88
张三38 82 37 69 62 188
张三16 53 49 90 64 192
张三69 0 39 0 13 39
张三7 97 36 42 58 175
张三45 50 22 86 52 158
张三88 32 56 13 33 101
张三88 27 43 22 30 92
张三68 66 27 58 50 151
张三76 37 69 4 36 110
张三0 38 38 43 39 119
张三61 66 29 73 56 168
张三64 6 79 8 31 93
张三80 43 1 74 39 118
张三9 48 25 79 50 152
张三54 25 90 26 47 141
张三49 74 40 92 68 206
张三50 8 65 98 57 171
张三7 7 20 73 33 100
张三42 30 98 12 46 140
张三44 82 68 89 79 239
张三3 51 0 35 28 86
张三31 69 73 32 58 174
张三97 93 52 14 53 159
张三46 26 48 47 40 121
张三80 89 86 85 86 260
张三96 27 40 92 53 159
张三8 85 39 50 58 174
张三5 29 18 74 40 121
张三15 72 23 92 62 187
张三15 76 98 41 71 215
张三10 56 47 5 36 108
张三94 42 72 88 67 202
张三16 97 99 17 71 213
张三42 70 44 19 44 133
张三34 57 88 64 69 209
张三40 63 81 82 75 226
张三13 53 78 36 55 167
张三93 16 46 53 38 115
张三62 11 78 88 59 177
张三48 17 73 45 45 135
张三24 37 78 12 42 127
张三98 47 80 75 67 202
张三16 87 21 90 66 198
张三94 48 49 96 64 193
张三83 88 79 88 85 255
张三35 49 19 86 51 154
张三41 23 51 56 43 130
张三6 74 57 71 67 202
张三90 14 11 46 23 71
张三81 59 13 87 53 159
张三30 47 80 63 63 190
张三8 57 83 32 57 172
张三19 25 77 2 34 104
张三54 14 10 61 28 85
张三36 50 5 50 35 105
张三65 34 21 20 25 75
张三51 56 51 56 54 163
张三77 80 74 27 60 181
张三26 63 17 78 52 158
张三80 61 55 33 49 149
张三66 8 14 80 34 102
张三20 22 53 41 38 116
张三31 80 74 41 65 195
张三97 21 12 53 28 86
张三54 67 73 71 70 211
张三78 63 27 71 53 161
张三31 83 70 80 77 233
张三57 40 33 87 53 160
张三91 46 0 23 23 69
张三14 75 14 14 34 103
张三35 14 73 29 38 116
张三55 79 17 67 54 163
张三33 5 71 78 51 154
张三44 69 62 90 73 221
张三97 55 58 80 64 193
张三54 19 77 64 53 160
张三74 96 18 95 69 209
张三93 9 91 82 60 182
张三30 52 6 71 43 129
张三99 28 75 52 51 155
张三19 84 76 95 85 255
张三83 26 20 53 33 99
张三55 40 5 94 46 139
张三89 28 66 91 61 185
张三28 86 53 23 54 162
张三94 61 50 95 68 206
张三45 21 6 31 19 58
张三49 34 18 66 39 118
张三71 1 92 86 59 179
张三62 4 31 71 35 106
张三8 40 89 4 44 133
张三55 96 49 36 60 181
张三47 48 48 15 37 111
张三49 63 80 88 77 231
张三59 16 88 58 54 162
张三66 12 32 44 29 88
张三29 91 67 92 83 250
张三43 25 89 53 55 167
张三41 64 14 52 43 130
张三6 52 21 34 35 107
张三66 85 78 7 56 170
张三38 58 78 66 67 202
张三24 77 42 89 69 208
张三52 45 45 28 39 118
张三1 0 82 86 56 168
张三41 92 44 95 77 231
张三59 5 4 49 19 58
张三74 74 22 21 39 117
张三63 64 60 34 52 158
张三58 48 53 92 64 193
张三14 80 36 70 62 186
张三80 40 42 19 33 101
张三65 92 71 61 74 224
张三9 46 23 87 52 156
张三52 51 32 19 34 102
张三12 38 67 7 37 112
张三75 27 77 21 41 125
张三20 57 59 20 45 136
张三3 60 58 17 45 135
张三47 96 4 58 52 158
张三0 73 56 33 54 162
张三47 42 72 55 56 169
张三77 22 65 60 49 147
张三55 18 93 66 59 177
张三39 34 37 10 27 81
张三72 26 53 36 38 115
张三64 57 71 84 70 212
张三53 7 69 30 35 106
张三45 45 22 78 48 145
张三36 61 30 17 36 108
张三78 23 35 33 30 91
张三17 86 36 53 58 175
张三65 23 45 0 22 68
张三43 31 77 36 48 144
张三93 91 1 68 53 160
张三0 87 21 97 68 205
张三81 85 0 87 57 172
张三99 37 18 69 41 124
张三17 32 38 79 49 149
张三0 56 34 49 46 139
张三30 7 14 19 13 40
张三22 27 65 22 38 114
张三60 49 46 37 44 132
张三28 15 7 48 23 70
张三33 43 90 50 61 183
张三86 12 65 2 26 79
张三41 7 60 55 40 122
张三39 44 48 23 38 115
张三92 83 91 23 65 197
张三45 15 75 29 39 119
张三85 18 14 80 37 112
张三60 15 68 84 55 167
张三5 74 0 66 46 140
张三80 18 46 31 31 95
张三66 21 17 0 12 38
张三69 54 19 31 34 104
张三39 76 12 9 32 97
张三27 35 43 69 49 147
张三35 20 78 83 60 181
张三86 50 10 17 25 77
张三34 88 11 70 56 169
张三35 82 59 58 66 199
张三93 16 38 24 26 78
张三10 91 39 26 52 156
张三56 2 76 66 48 144
张三1 83 73 8 54 164
张三53 92 66 32 63 190
张三63 51 89 4 48 144
张三76 28 70 97 65 195
张三33 57 11 61 43 129
张三45 95 53 21 56 169
张三87 98 53 7 52 158
张三17 55 59 47 53 161
张三94 57 37 62 52 156
张三7 76 69 41 62 186
张三45 61 22 2 28 85
张三6 73 10 64 49 147
张三71 78 46 4 42 128
张三26 23 22 11 18 56
张三73 14 89 83 62 186
张三6 30 32 58 40 120
张三25 23 7 23 17 53
张三61 45 78 99 74 222
张三36 16 30 45 30 91
张三53 64 83 73 73 220
张三68 40 85 67 64 192
张三13 63 81 0 48 144
张三46 68 1 65 44 134
张三62 54 23 83 53 160
张三22 8 20 6 11 34
张三82 45 41 53 46 139
张三67 37 99 49 61 185
张三55 57 36 51 48 144
张三1 7 95 18 40 120
张三68 39 14 71 41 124
张三91 84 52 83 73 219
张三45 57 94 27 59 178
张三75 21 49 23 31 93
张三61 68 52 4 41 124
张三1 61 68 46 58 175
张三43 3 95 2 33 100
张三64 40 86 89 71 215
张三73 13 51 2 22 66
张三5 21 12 31 21 64
张三31 60 41 91 64 192
张三4 89 20 81 63 190
张三61 50 60 35 48 145
张三59 86 44 32 54 162
张三44 46 86 93 75 225
张三52 54 30 93 59 177
张三93 96 93 98 95 287
张三47 35 83 32 50 150
张三30 87 28 61 58 176
张三57 35 39 8 27 82
张三99 90 2 67 53 159
张三75 47 38 55 46 140
张三14 53 74 61 62 188
张三72 98 5 56 53 159
张三68 86 55 59 66 200
张三98 64 53 30 49 147
张三34 12 41 33 28 86
张三32 61 48 95 68 204
张三38 95 66 30 63 191
张三74 14 30 10 18 54
张三94 68 33 46 49 147
张三75 62 66 83 70 211
张三20 21 43 72 45 136
张三51 43 66 8 39 117
张三79 17 61 56 44 134
张三25 74 11 80 55 165
张三18 55 76 66 65 197
张三75 19 59 79 52 157
张三91 85 32 50 55 167
张三18 3 38 40 27 81
张三92 64 51 20 45 135
张三33 37 32 31 33 100
张三45 86 76 4 55 166
张三98 25 19 35 26 79
张三5 35 1 60 32 96
张三19 1 32 79 37 112
张三86 55 56 19 43 130
张三47 8 35 65 36 108
张三15 14 82 22 39 118
张三38 5 42 14 20 61
张三70 16 5 71 30 92
张三84 78 23 99 66 200
张三62 0 90 84 58 174
张三22 85 66 41 64 192
张三62 11 47 48 35 106
张三7 67 8 6 27 81
张三88 37 98 1 45 136
张三98 86 29 10 41 125
张三98 63 52 90 68 205
张三0 2 89 20 37 111
张三55 58 36 82 58 176
张三55 80 52 22 51 154
张三65 19 68 20 35 107
张三77 83 11 83 59 177
张三98 28 90 69 62 187
张三72 12 38 33 27 83
张三46 2 87 81 56 170
张三99 92 84 33 69 209
张三75 35 54 64 51 153
张三44 0 38 27 21 65
张三81 59 96 59 71 214
张三26 1 99 70 56 170
张三53 90 80 45 71 215
张三62 45 26 95 55 166
张三96 18 51 19 29 88
张三41 9 80 57 48 146
张三87 66 99 39 68 204
张三1 17 48 69 44 134
张三45 27 40 16 27 83
张三5 67 42 10 39 119
张三44 46 37 88 57 171
张三54 36 92 76 68 204
张三18 21 80 30 43 131
张三90 49 85 17 50 151
张三9 20 97 62 59 179
张三76 34 20 45 33 99
张三71 58 81 73 70 212
张三47 1 79 47 42 127
张三39 74 34 69 59 177
张三81 14 27 20 20 61
张三11 87 64 13 54 164
张三37 37 4 93 44 134
张三8 45 5 14 21 64
张三36 85 65 44 64 194
张三9 85 37 80 67 202
张三8 12 77 93 60 182
张三87 61 11 54 42 126
张三19 99 87 43 76 229
张三71 24 24 84 44 132
张三42 44 20 97 53 161
张三25 41 0 1 14 42
张三68 59 60 74 64 193
张三27 11 58 12 27 81
张三27 19 33 8 20 60
张三61 92 80 22 64 194
张三97 35 97 83 71 215
张三87 56 17 46 39 119
张三15 31 99 66 65 196
张三32 53 84 83 73 220
张三5 47 59 20 42 126
张三15 13 39 50 34 102
张三5 15 91 13 39 119
张三21 52 45 0 32 97
张三42 56 75 66 65 197
张三61 46 64 85 65 195
张三4 15 23 91 43 129
张三97 94 24 23 47 141
张三83 22 31 20 24 73
张三19 73 64 90 75 227
张三18 42 88 29 53 159
张三96 68 49 32 49 149
张三44 71 82 95 82 248
张三46 31 2 90 41 123
张三21 66 49 61 58 176
张三91 91 7 67 55 165
张三17 31 26 74 43 131
张三96 24 71 76 57 171
张三53 0 20 33 17 53
张三4 61 47 66 58 174
张三44 74 3 72 49 149
张三22 87 68 1 52 156
张三92 20 89 39 49 148
张三12 55 32 43 43 130
张三5 26 61 68 51 155
张三95 32 45 59 45 136
张三63 74 41 48 54 163
张三86 32 7 67 35 106
张三52 85 41 35 53 161
张三86 20 99 75 64 194
张三21 27 19 61 35 107
张三32 81 15 87 61 183
张三54 8 33 37 26 78
张三66 99 34 78 70 211
张三57 94 81 54 76 229
张三65 74 28 57 53 159
张三88 7 47 30 28 84
张三71 82 62 85 76 229
张三95 14 7 57 26 78
张三77 65 26 0 30 91
张三38 6 60 35 33 101
张三86 87 87 68 80 242
张三4 11 90 19 40 120
张三42 98 90 80 89 268
张三46 17 72 1 30 90
张三90 9 10 38 19 57
张三1 85 77 2 54 164
张三22 52 48 16 38 116
张三70 72 42 49 54 163
张三21 71 29 96 65 196
张三72 6 7 67 26 80
张三1 99 28 91 72 218
张三88 75 37 7 39 119
张三6 88 58 22 56 168
张三76 31 85 88 68 204
张三21 6 66 13 28 85
张三12 9 51 22 27 82
张三5 21 41 15 25 77
张三83 18 57 58 44 133
张三50 36 27 69 44 132
张三55 62 42 66 56 170
张三24 44 87 76 69 207
张三77 78 28 24 43 130
张三52 7 73 32 37 112
张三97 16 42 12 23 70
张三44 98 88 48 78 234
张三2 4 70 6 26 80
张三84 42 47 57 48 146
张三11 43 84 19 48 146
张三13 57 76 85 72 218
张三78 55 78 58 63 191
张三97 75 6 34 38 115
张三86 69 95 70 78 234
张三54 86 52 96 78 234
张三44 13 23 6 14 42
张三70 57 69 26 50 152
张三8 51 13 27 30 91
张三45 4 53 2 19 59
张三92 85 38 26 49 149
张三38 11 10 72 31 93
张三45 13 74 44 43 131
张三8 42 2 74 39 118
张三9 95 13 3 37 111
张三62 87 70 65 74 222
张三78 0 9 85 31 94
张三68 17 78 90 61 185
张三20 6 21 27 18 54
张三86 70 18 97 61 185
张三48 91 20 11 40 122
张三26 77 86 64 75 227
张三40 36 49 73 52 158
张三40 87 19 92 66 198
张三45 24 75 65 54 164
张三99 82 41 96 73 219
张三21 10 64 18 30 92
张三28 61 64 83 69 208
张三7 90 62 29 60 181
张三76 52 46 0 32 98
张三11 3 76 38 39 117
张三66 72 0 97 56 169
张三69 35 73 82 63 190
张三41 46 96 45 62 187
张三9 14 51 43 36 108
张三2 63 19 78 53 160
张三22 21 52 20 31 93
张三8 12 62 77 50 151
张三33 36 11 98 48 145
张三80 48 59 7 38 114
张三12 12 66 89 55 167
张三29 63 13 59 45 135
张三76 54 80 76 70 210
张三99 72 50 79 67 201
张三62 11 37 73 40 121
张三9 34 13 82 43 129
张三89 44 24 95 54 163
张三7 70 79 68 72 217
张三27 15 2 93 36 110
张三96 55 56 5 38 116
张三38 98 37 97 77 232
张三89 76 4 40 40 120
张三68 32 38 72 47 142
张三83 8 76 55 46 139
张三96 43 22 98 54 163
张三96 32 77 68 59 177
张三72 15 8 98 40 121
张三73 3 91 63 52 157
张三7 96 9 91 65 196
张三67 48 22 91 53 161
张三79 50 71 56 59 177
张三63 35 35 66 45 136
张三86 7 76 14 32 97
张三84 66 24 71 53 161
张三57 65 19 69 51 153
张三99 63 10 26 33 99
张三89 42 10 71 41 123
张三31 66 69 95 76 230
张三88 98 78 92 89 268
张三36 61 30 30 40 121
张三19 51 63 23 45 137
张三82 84 96 80 86 260
张三3 78 29 28 45 135
张三73 4 89 11 34 104
张三6 72 46 26 48 144
张三84 64 0 20 28 84
张三18 74 98 87 86 259
张三1 21 17 35 24 73
张三15 33 34 42 36 109
张三87 32 47 32 37 111
张三35 46 67 71 61 184
张三17 75 63 17 51 155
张三39 78 90 96 88 264
张三54 98 41 48 62 187
张三28 71 51 9 43 131
张三53 24 63 3 30 90
张三13 91 11 8 36 110
张三21 76 4 7 29 87
张三0 72 97 7 58 176
张三73 95 35 83 71 213
张三8 53 93 69 71 215
张三47 45 2 93 46 140
张三36 18 51 53 40 122
张三86 51 62 69 60 182
张三59 90 8 91 63 189
张三95 11 91 68 56 170
张三6 32 43 32 35 107
张三22 65 0 94 53 159
张三61 58 14 4 25 76
张三23 23 9 58 30 90
张三78 62 45 9 38 116
张三27 84 75 92 83 251
张三9 12 69 28 36 109
张三94 90 78 28 65 196
张三85 67 43 11 40 121
张三25 10 3 93 35 106
张三0 19 79 83 60 181
张三95 40 67 11 39 118
张三85 63 79 76 72 218
张三91 59 99 90 82 248
张三73 54 47 86 62 187
张三88 89 53 34 58 176
张三89 88 21 6 38 115
张三96 45 15 32 30 92
张三27 38 63 80 60 181
张三53 59 46 86 63 191
张三83 20 84 87 63 191
张三62 41 57 91 63 189
张三65 61 90 48 66 199
张三75 89 18 88 65 195
张三3 17 91 11 39 119
张三91 63 39 41 47 143
张三16 43 95 63 67 201
张三17 3 88 9 33 100
张三22 18 87 65 56 170
张三0 30 15 23 22 68
张三92 84 67 22 57 173
张三40 81 14 80 58 175
张三83 49 81 23 51 153
张三32 52 39 20 37 111
张三11 51 92 16 53 159
张三9 68 44 51 54 163
张三35 5 55 3 21 63
张三74 87 21 17 41 125
张三64 56 8 80 48 144
张三43 2 68 54 41 124
张三28 34 87 32 51 153
张三47 31 93 66 63 190
张三47 66 16 86 56 168
张三54 74 34 3 37 111
张三7 90 54 69 71 213
张三12 82 76 43 67 201
张三28 3 77 15 31 95
张三30 98 66 0 54 164
张三64 96 43 40 59 179
张三39 21 70 12 34 103
张三95 90 57 62 69 209
张三7 33 35 81 49 149
张三87 70 39 34 47 143
张三93 80 23 67 56 170
张三26 70 66 32 56 168
张三77 99 49 65 71 213
张三66 65 27 3 31 95
张三84 29 40 1 23 70
张三39 74 37 66 59 177
张三99 48 86 47 60 181
张三8 74 68 29 57 171
张三42 37 64 34 45 135
张三79 77 10 54 47 141
张三42 35 41 92 56 168
张三94 40 86 96 74 222
张三44 66 97 80 81 243
张三69 82 45 83 70 210
张三19 35 27 67 43 129
张三49 41 37 24 34 102
张三70 30 99 73 67 202
张三1 3 41 64 36 108
张三64 68 88 86 80 242
张三60 75 84 10 56 169
张三15 87 16 22 41 125
张三2 81 93 6 60 180
张三5 65 58 84 69 207
张三4 19 49 33 33 101
张三26 6 96 35 45 137
张三27 88 48 60 65 196
张三68 47 39 3 29 89
张三20 92 82 65 79 239
张三95 55 32 69 52 156
张三33 68 99 10 59 177
张三78 38 25 18 27 81
张三94 89 98 43 76 230
张三78 67 83 48 66 198
张三79 66 78 43 62 187
张三3 96 40 63 66 199
张三89 18 36 52 35 106
张三75 32 41 5 26 78
张三5 1 92 52 48 145
张三84 78 30 99 69 207
张三88 14 84 68 55 166
张三23 64 61 0 41 125
张三44 18 52 30 33 100
张三10 21 57 89 55 167
张三81 47 24 6 25 77
张三63 92 35 50 59 177
张三5 80 48 92 73 220
张三78 57 64 11 44 132
张三61 13 50 33 32 96
张三14 28 46 46 40 120
张三91 55 13 88 52 156
张三3 45 25 73 47 143
张三74 24 96 90 70 210
张三23 62 50 80 64 192
张三88 30 42 45 39 117
张三13 37 72 74 61 183
张三70 63 46 73 60 182
张三20 26 40 46 37 112
张三96 23 91 98 70 212
张三87 63 16 64 47 143
张三5 60 51 21 44 132
张三48 90 46 72 69 208
张三21 23 35 52 36 110
张三78 45 33 45 41 123
张三57 19 22 68 36 109
张三4 31 15 14 20 60
张三11 31 3 34 22 68
张三91 30 46 80 52 156
张三81 68 38 4 36 110
张三49 29 17 77 41 123
张三59 23 77 77 59 177
张三36 65 76 41 60 182
张三80 66 31 94 63 191
张三32 31 39 9 26 79
张三42 12 68 84 54 164
张三34 69 89 54 70 212
张三21 24 80 6 36 110
张三80 55 10 14 26 79
张三37 48 45 36 43 129
张三7 65 8 96 56 169
张三62 92 79 4 58 175
张三5 53 7 40 33 100
张三62 98 55 77 76 230
张三12 1 27 88 38 116
张三23 55 26 43 41 124
张三76 10 88 89 62 187
张三98 71 91 40 67 202
张三65 36 82 32 50 150
张三72 91 79 33 67 203
张三10 15 16 98 43 129
张三42 28 49 50 42 127
张三8 9 28 51 29 88
张三53 49 29 3 27 81
张三24 60 5 42 35 107
张三35 31 33 71 45 135
张三64 71 76 68 71 215
张三28 82 46 30 52 158
张三8 8 53 13 24 74
张三16 80 51 30 53 161
张三34 15 35 90 46 140
张三64 95 43 81 73 219
张三60 93 8 17 39 118
张三63 82 58 81 73 221
张三87 54 7 37 32 98
张三26 60 7 7 24 74
张三37 92 11 43 48 146
张三58 22 92 49 54 163
张三90 98 96 66 86 260
张三31 40 51 53 48 144
张三81 25 72 58 51 155
张三22 56 54 15 41 125
张三24 87 65 47 66 199
张三90 74 39 25 46 138
张三44 28 31 73 44 132
张三98 0 81 77 52 158
张三52 19 8 26 17 53
张三21 81 17 66 54 164
张三96 49 47 28 41 124
张三91 58 67 57 60 182
张三67 31 72 51 51 154
张三53 21 34 95 50 150
张三39 29 69 55 51 153
张三54 34 74 83 63 191
张三87 82 91 82 85 255
张三86 74 59 53 62 186
张三91 94 42 56 64 192
张三40 86 86 9 60 181
张三39 82 71 54 69 207
张三60 74 88 10 57 172
张三82 37 88 62 62 187
张三91 59 67 23 49 149
张三87 23 87 34 48 144
张三71 69 53 79 67 201
张三23 15 27 6 16 48
张三0 70 47 85 67 202
张三45 64 32 34 43 130
张三95 29 12 96 45 137
张三83 27 73 73 57 173
张三6 70 18 51 46 139
张三36 11 78 5 31 94
张三61 78 54 4 45 136
张三39 13 64 73 50 150
张三62 46 65 35 48 146
张三43 52 88 98 79 238
张三35 82 72 98 84 252
张三36 33 74 80 62 187
张三38 12 91 52 51 155
张三94 87 40 5 44 132
张三47 54 55 81 63 190
张三21 68 57 4 43 129
张三96 41 94 96 77 231
张三47 16 0 58 24 74
张三30 24 52 79 51 155
张三79 0 71 22 31 93
张三0 79 25 6 36 110
张三10 19 12 21 17 52
张三11 10 53 67 43 130
张三54 10 35 43 29 88
张三99 0 6 63 23 69
张三53 94 35 30 53 159
张三2 70 41 53 54 164
张三68 63 67 40 56 170
张三42 49 28 74 50 151
张三62 89 94 31 71 214
张三48 50 60 71 60 181
张三20 5 54 1 20 60
张三69 22 2 90 38 114
张三85 88 82 64 78 234
张三76 6 51 38 31 95
张三90 49 3 63 38 115
张三34 35 99 8 47 142
张三16 99 72 45 72 216
张三2 34 19 17 23 70
张三17 72 25 52 49 149
张三1 30 38 11 26 79
张三74 87 84 95 88 266
张三35 64 50 38 50 152
张三89 3 0 14 5 17
张三75 69 69 86 74 224
张三18 9 61 65 45 135
张三38 66 63 37 55 166
张三1 22 72 53 49 147
张三7 67 90 88 81 245
张三57 6 99 15 40 120
张三94 20 26 44 30 90
张三27 43 28 46 39 117
张三28 9 74 75 52 158
张三1 88 83 79 83 250
张三23 0 86 91 59 177
张三59 22 7 88 39 117
张三64 11 28 90 43 129
张三1 69 86 84 79 239
张三5 19 79 70 56 168
张三63 35 93 95 74 223
张三78 63 50 17 43 130
张三29 6 64 70 46 140
张三51 85 47 7 46 139
张三98 88 36 43 55 167
张三88 17 30 84 43 131
张三55 92 16 47 51 155
张三87 26 32 99 52 157
张三58 97 57 67 73 221
张三19 53 47 38 46 138
张三55 38 52 60 50 150
张三80 21 91 49 53 161
张三69 98 86 96 93 280
张三28 91 9 64 54 164
张三23 16 5 92 37 113
张三77 98 70 72 80 240
张三11 27 78 44 49 149
张三61 88 82 85 85 255
张三10 97 69 71 79 237
张三95 45 8 8 20 61
张三4 31 62 40 44 133
张三89 75 73 98 82 246
张三66 44 76 23 47 143
张三9 84 2 88 58 174
张三8 51 76 16 47 143
张三68 76 1 90 55 167
张三15 97 86 17 66 200
张三4 50 0 21 23 71
张三92 32 24 29 28 85
张三82 72 9 0 27 81
张三25 19 41 64 41 124
张三18 49 51 31 43 131
张三13 7 27 43 25 77
张三14 48 79 52 59 179
张三19 33 13 13 19 59
张三51 13 87 12 37 112
张三69 7 92 47 48 146
张三91 83 83 32 66 198
张三74 15 18 86 39 119
张三66 26 66 32 41 124
张三64 44 76 33 51 153
张三66 20 35 48 34 103
张三64 89 30 21 46 140
张三55 62 34 61 52 157
张三38 28 73 5 35 106
张三72 82 81 23 62 186
张三92 63 59 55 59 177
张三98 86 62 44 64 192
张三13 48 82 53 61 183
张三1 70 83 72 75 225
张三68 77 28 9 38 114
张三80 63 97 94 84 254
张三11 85 17 59 53 161
张三75 2 58 20 26 80
张三66 92 14 14 40 120
张三17 40 82 45 55 167
张三77 98 82 61 80 241
张三31 42 95 95 77 232
张三40 88 88 42 72 218
张三23 29 2 3 11 34
张三79 39 96 57 64 192
张三94 59 27 64 50 150
张三13 5 17 78 33 100
张三91 64 87 74 75 225
张三20 39 84 63 62 186
张三71 82 98 50 76 230
张三19 85 73 96 84 254
张三27 59 46 86 63 191
张三10 21 8 10 13 39
张三33 90 62 84 78 236
张三33 71 94 69 78 234
张三79 44 66 80 63 190
张三63 90 81 98 89 269
张三16 89 95 43 75 227
张三35 1 55 97 51 153
张三29 99 24 13 45 136
张三58 44 4 87 45 135
张三7 26 32 22 26 80
张三81 51 98 61 70 210
张三83 58 79 6 47 143
张三11 67 96 45 69 208
张三56 96 10 91 65 197
张三96 82 61 87 76 230
张三19 28 76 23 42 127
张三18 40 44 33 39 117
张三64 80 55 84 73 219
张三71 38 72 57 55 167
张三30 66 18 90 58 174
张三12 36 46 52 44 134
张三8 77 54 80 70 211
张三0 40 45 9 31 94
张三34 72 65 38 58 175
张三87 30 76 18 41 124
张三31 69 84 9 54 162
张三99 35 32 95 54 162
张三72 43 93 97 77 233
张三36 94 36 4 44 134
张三76 78 23 53 51 154
张三77 41 87 26 51 154
张三73 40 79 5 41 124
张三60 10 39 7 18 56
张三85 56 14 73 47 143
张三92 46 78 71 65 195
张三13 21 50 74 48 145
张三85 65 73 93 77 231
张三35 70 17 23 36 110
张三47 8 16 55 26 79
张三37 84 56 65 68 205
张三52 67 93 51 70 211
张三51 17 11 6 11 34
张三83 99 29 94 74 222
张三69 70 7 29 35 106
张三21 36 6 36 26 78
张三42 33 84 4 40 121
张三8 60 56 37 51 153
张三96 87 34 45 55 166
张三37 21 72 14 35 107
张三25 35 71 49 51 155
张三16 93 84 56 77 233
张三38 91 16 35 47 142
张三22 99 98 3 66 200
张三68 58 88 77 74 223
张三52 68 1 22 30 91
张三80 77 28 73 59 178
张三20 87 62 14 54 163
张三20 19 3 18 13 40
张三64 68 4 42 38 114
张三7 44 55 63 54 162
张三67 40 14 78 44 132
张三60 80 8 71 53 159
张三99 40 11 83 44 134
张三92 60 31 23 38 114
张三28 67 10 92 56 169
张三37 43 33 10 28 86
张三84 0 30 51 27 81
张三83 99 38 32 56 169
张三41 30 36 37 34 103
张三23 33 53 80 55 166
张三60 30 36 59 41 125
张三52 85 38 81 68 204
张三34 63 47 14 41 124
张三63 20 40 24 28 84
张三91 28 7 50 28 85
张三40 5 56 92 51 153
张三61 63 8 61 44 132
张三32 30 11 95 45 136
张三28 67 62 14 47 143
张三60 28 99 39 55 166
张三95 18 45 85 49 148
张三93 91 13 7 37 111
张三56 91 56 51 66 198
张三2 93 36 31 53 160
张三42 0 0 67 22 67
张三65 69 14 65 49 148
张三86 22 87 31 46 140
张三90 6 96 9 37 111
张三24 84 96 96 92 276
张三79 44 27 32 34 103
张三34 8 51 9 22 68
张三45 1 37 97 45 135
张三71 50 1 65 38 116
张三62 65 36 84 61 185
张三47 83 14 23 40 120
张三1 14 38 67 39 119
张三85 5 14 98 39 117
张三96 57 59 94 70 210
张三14 68 31 53 50 152
张三24 20 55 61 45 136
张三15 75 35 43 51 153
张三10 3 12 4 6 19
张三19 73 78 72 74 223
张三84 84 95 23 67 202
张三6 37 67 92 65 196
张三46 68 13 32 37 113
张三90 55 38 38 43 131
张三29 72 66 93 77 231
张三54 12 2 72 28 86
张三55 18 81 66 55 165
张三85 72 92 96 86 260
张三20 76 42 8 42 126
张三32 90 30 53 57 173
张三74 64 81 83 76 228
张三67 91 74 16 60 181
张三59 6 91 66 54 163
张三36 30 44 41 38 115
张三31 5 59 67 43 131
张三25 88 21 35 48 144
张三79 86 38 96 73 220
张三86 85 62 75 74 222
张三21 3 24 49 25 76
张三82 11 90 44 48 145
张三30 24 80 89 64 193
张三58 4 39 14 19 57
